kanji,freq
或,2098
媚,2099
瞑,2100
塀,2101
俊,2102
傲,2103
弘,2104
婿,2105
雛,2106
抉,2107
頸,2108
赴,2109
竿,2110
匿,2111
抹,2112
癌,2113
夷,2114
漆,2115
紺,2116
廉,2117
枢,2118
蛍,2119
苗,2120
劫,2121
撥,2122
吏,2123
韻,2124
煌,2125
瓜,2126
洩,2127
蝋,2128
獅,2129
蔭,2130
穢,2131
塾,2132
昆,2133
墜,2134
呻,2135
讃,2136
唄,2137
燭,2138
睦,2139
挽,2140
梨,2141
舵,2142
牽,2143
醸,2144
炒,2145
痒,2146
暁,2147
累,2148
玩,2149
菩,2150
陀,2151
叙,2152
瑞,2153
某,2154
顰,2155
踵,2156
蔓,2157
云,2158
薙,2159
昌,2160
嚢,2161
凹,2162
幣,2163
錦,2164
享,2165
循,2166
淀,2167
賓,2168
葡,2169
訂,2170
璃,2171
漕,2172
癪,2173
穀,2174
蕎,2175
喘,2176
茎,2177
薇,2178
祐,2179
洲,2180
肪,2181
擁,2182
瞼,2183
俳,2184
嬌,2185
厨,2186
朧,2187
蝕,2188
腿,2189
佇,2190
凛,2191
槽,2192
縋,2193
蟻,2194
祥,2195
秤,2196
喩,2197
虹,2198
薔,2199
萄,2200
篤,2201
娠,2202
硫,2203
埒,2204
扶,2205
莫,2206
閲,2207
軋,2208
牌,2209
闊,2210
弔,2211
寡,2212
斯,2213
淵,2214
柿,2215
轄,2216
幡,2217
碧,2218
躯,2219
蟹,2220
庵,2221
茹,2222
椎,2223
沫,2224
騰,2225
淑,2226
殆,2227
旬,2228
恰,2229
醤,2230
藪,2231
礫,2232
呉,2233
輿,2234
乃,2235
隻,2236
瞭,2237
弧,2238
嚇,2239
陵,2240
梯,2241
禿,2242
薫,2243
鞘,2244
巫,2245
后,2246
鷲,2247
蔽,2248
虜,2249
辰,2250
采,2251
冶,2252
猥,2253
腎,2254
痙,2255
賄,2256
曾,2257
脊,2258
瑠,2259
妾,2260
恭,2261
耽,2262
鳳,2263
践,2264
倣,2265
鴨,2266
渾,2267
祓,2268
梁,2269
慾,2270
迅,2271
卿,2272
狸,2273
棺,2274
迦,2275
茫,2276
碑,2277
仔,2278
郊,2279
狽,2280
叉,2281
捩,2282
駈,2283
癇,2284
褐,2285
駕,2286
鯨,2287
栽,2288
搭,2289
蛙,2290
綾,2291
汽,2292
詣,2293
堤,2294
雁,2295
攫,2296
宰,2297
祉,2298
呵,2299
屁,2300
膏,2301
磯,2302
煉,2303
桂,2304
篇,2305
彷,2306
絨,2307
斧,2308
惰,2309
遷,2310
餐,2311
曰,2312
峠,2313
耶,2314
酵,2315
錐,2316
